Season,Club,Expenditure,Arrivals,Income,Departures,Balance,Transfer
16-17,Everton FC,54.200,18,55.600,11,1.400,Summer
16-17,Southampton FC,51.900,9,75.850,9,23.950,Summer
16-17,AFC Bournemouth,39.750,13,20.190,21,-19.560,Summer
16-17,Swansea City,37.900,16,49.300,14,11.400,Summer
16-17,Sunderland AFC,37.400,22,8.550,21,-28.850,Summer
16-17,Middlesbrough FC,28.750,17,9.400,13,-19.350,Summer
16-17,West Bromwich Albion,26.400,12,12.500,10,-13.900,Summer
16-17,Burnley FC,24.700,21,0.000,18,-24.700,Summer
16-17,Stoke City,23.380,14,3.800,8,-19.580,Summer
16-17,Hull City,20.900,17,5.400,10,-15.500,Summer
16-17,Crystal Palace,41.700,8,0.000,5,-41.700,Winter
16-17,Manchester City,32.000,4,20.500,4,-11.500,Winter
16-17,Everton FC,31.800,4,5.200,9,-26.600,Winter
16-17,West Ham United,21.200,3,29.300,4,8.100,Winter
16-17,Burnley FC,20.900,7,1.200,8,-19.700,Winter
16-17,Swansea City,20.200,7,0.000,3,-20.200,Winter
16-17,Middlesbrough FC,19.200,4,4.100,8,-15.100,Winter
16-17,Hull City,19.100,8,23.500,10,4.400,Winter
16-17,Leicester City,17.600,4,15.800,4,-1.800,Winter
16-17,Southampton FC,17.000,4,9.200,1,-7.800,Winter
16-17,Stoke City,15.400,3,0.000,6,-15.400,Winter
16-17,West Bromwich Albion,11.500,2,14.480,4,2.980,Winter
16-17,Sunderland AFC,4.500,5,15.220,3,10.720,Winter
16-17,Watford FC,3.500,7,28.500,10,25.000,Winter
16-17,AFC Bournemouth,0.940,7,3.500,7,2.560,Winter
16-17,Arsenal FC,0.040,1,0.000,3,-0.040,Winter
16-17,Liverpool FC,0.000,2,6.600,3,6.600,Winter
16-17,Tottenham Hotspur,0.000,0,5.200,1,5.200,Winter
16-17,Chelsea FC,0.000,3,66.900,5,66.900,Winter
16-17,Manchester United,0.000,3,39.000,4,39.000,Winter
17-18,Manchester City,248.500,33,91.350,28,-157.150,Summer
17-18,Chelsea FC,206.700,42,130.600,24,-76.100,Summer
17-18,Manchester United,164.400,12,11.500,7,-152.900,Summer
17-18,Everton FC,158.200,23,107.380,15,-50.820,Summer
17-18,Tottenham Hotspur,93.100,13,103.800,9,10.700,Summer
17-18,Liverpool FC,89.000,15,47.200,10,-41.800,Summer
17-18,Leicester City,86.200,15,47.900,11,-38.300,Summer
17-18,Watford FC,61.500,32,18.500,25,-43.000,Summer
17-18,Arsenal FC,53.000,13,70.500,10,17.500,Summer
17-18,Swansea City,50.590,20,81.100,20,30.520,Summer
17-18,Brighton & Hove Albion,49.000,21,0.400,18,-48.600,Summer
17-18,West Bromwich Albion,45.700,14,2.050,11,-43.650,Summer
17-18,West Ham United,45.400,11,30.650,18,-14.750,Summer
17-18,Huddersfield Town,44.400,19,5.860,15,-38.550,Summer
17-18,Newcastle United,42.300,26,20.620,22,-21.680,Summer
17-18,Southampton FC,39.250,12,13.700,10,-25.550,Summer
17-18,Crystal Palace,37.200,9,3.000,16,-34.200,Summer
17-18,Stoke City,34.900,18,35.140,18,0.240,Summer
17-18,AFC Bournemouth,34.300,13,0.000,8,-34.300,Summer
17-18,Burnley FC,34.040,11,50.000,16,15.960,Summer
17-18,Arsenal FC,99.850,3,87.500,7,-12.350,Winter
17-18,Liverpool FC,84.880,3,147.300,6,62.420,Winter
17-18,Manchester City,69.000,5,0.000,4,-69.000,Winter
17-18,Chelsea FC,53.800,5,70.000,7,16.200,Winter
17-18,Everton FC,45.000,5,19.000,6,-26.000,Winter
17-18,Manchester United,34.000,2,34.000,4,0.000,Winter
